epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1574.35,1.20642,1.36531,1.29691,0.51005,0.63709,0.59307,0.4304,1.18172,1.4351,1.40635,0.000643101,0.000643101,0.000643101
43,1612.48,1.20507,1.36318,1.29203,0.51431,0.60495,0.59708,0.43658,1.17174,1.46918,1.38441,0.000628101,0.000628101,0.000628101
44,1650.37,1.19137,1.35844,1.29481,0.62859,0.61581,0.63464,0.47047,1.17392,1.34306,1.37579,0.000612981,0.000612981,0.000612981
45,1687.96,1.2018,1.3551,1.2903,0.5515,0.64858,0.6336,0.46643,1.15726,1.29338,1.36931,0.000597754,0.000597754,0.000597754
46,1726.76,1.1942,1.30175,1.28401,0.52465,0.6107,0.60716,0.44437,1.15468,1.32654,1.37442,0.000582435,0.000582435,0.000582435
47,1764.39,1.20447,1.31109,1.28969,0.5225,0.66242,0.62128,0.44984,1.14824,1.31462,1.37988,0.00056704,0.00056704,0.00056704
48,1801.38,1.18414,1.30867,1.286,0.52891,0.63009,0.63526,0.46748,1.15401,1.34189,1.36895,0.000551584,0.000551584,0.000551584
49,1838.45,1.18832,1.29309,1.27754,0.60035,0.62529,0.64393,0.48452,1.14554,1.28069,1.35139,0.000536081,0.000536081,0.000536081
50,1875.49,1.15703,1.26904,1.27022,0.55237,0.64349,0.6195,0.45656,1.14716,1.33055,1.35312,0.000520548,0.000520548,0.000520548
51,1912.74,1.17478,1.26875,1.27891,0.5566,0.60048,0.61195,0.44068,1.17194,1.33952,1.36734,0.000505,0.000505,0.000505
52,1949.81,1.17712,1.25025,1.27816,0.57623,0.68811,0.65571,0.48637,1.12798,1.23036,1.337,0.000489452,0.000489452,0.000489452
53,1986.95,1.16732,1.25389,1.26368,0.58942,0.58149,0.62738,0.46847,1.14456,1.25392,1.34911,0.000473919,0.000473919,0.000473919
54,2024.21,1.15681,1.25193,1.26523,0.55667,0.62594,0.63782,0.47872,1.14846,1.24988,1.34883,0.000458416,0.000458416,0.000458416
55,2061.27,1.16529,1.21622,1.26933,0.56404,0.6427,0.6527,0.48796,1.13092,1.24647,1.34434,0.00044296,0.00044296,0.00044296
56,2098.41,1.14616,1.19964,1.25724,0.59833,0.61056,0.65723,0.49034,1.13974,1.24748,1.34891,0.000427565,0.000427565,0.000427565
57,2135.83,1.14802,1.19435,1.26812,0.59859,0.63696,0.64842,0.47489,1.1474,1.2783,1.34929,0.000412246,0.000412246,0.000412246
58,2173.35,1.1496,1.16545,1.25428,0.59146,0.64738,0.6592,0.48673,1.14783,1.21543,1.35317,0.000397019,0.000397019,0.000397019
59,2211.24,1.14376,1.16525,1.25173,0.572,0.57002,0.62378,0.46296,1.14662,1.31451,1.34723,0.000381899,0.000381899,0.000381899
60,2248.99,1.13061,1.14687,1.2416,0.63075,0.63287,0.67271,0.50361,1.11829,1.18897,1.34062,0.000366899,0.000366899,0.000366899
61,2286.14,1.12671,1.14581,1.24303,0.57867,0.62414,0.63862,0.47776,1.12115,1.26152,1.34995,0.000352037,0.000352037,0.000352037
62,2323.36,1.13744,1.14231,1.24199,0.51519,0.69378,0.63857,0.47958,1.12159,1.23384,1.33999,0.000337325,0.000337325,0.000337325
63,2360.46,1.13366,1.14067,1.24313,0.56858,0.67637,0.66801,0.50319,1.10028,1.18825,1.32442,0.000322778,0.000322778,0.000322778
64,2397.5,1.1011,1.10506,1.22628,0.56293,0.69266,0.65711,0.49179,1.10172,1.20904,1.32919,0.000308412,0.000308412,0.000308412
